time,Gmag [mag]
1683.944,15.752078
1684.1201,15.815545
1684.1941,15.826036
1684.6205,15.105296
1812.7925,15.829264
1812.8665,15.892994
1846.7633,15.832815
1861.5159,15.82181
1861.59,15.829121
1956.3593,14.964028
1970.1151,14.897686
1970.1892,15.135538
2007.3414,15.835094
2007.4154,15.897626
2139.3582,15.841603
2139.4324,15.924864
2139.6084,14.801614
2139.6824,15.020072
2153.863,15.78715
2153.937,15.821575
2188.3398,15.927849
2188.4138,15.461832
2227.302,15.070231
2227.376,15.231863
2227.5522,15.492376
2233.5552,15.820882
2233.6292,15.828069
2233.8054,15.869608
2233.8794,15.89397
2330.653,14.994702
